KOD;NAZEV;VUSC_KOD;KRAJ_1960_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3201;Benešov;27;32;CZ0201;15.02.2016 00:00:00;;11.04.1960 00:00:00
3202;Beroun;27;32;CZ0202;08.02.2016 00:00:00;;11.04.1960 00:00:00
3701;Blansko;116;37;CZ0641;17.12.2015 00:00:00;;11.04.1960 00:00:00
3702;Brno-mìsto;116;37;CZ0642;06.06.2015 00:00:00;;11.04.1960 00:00:00
3703;Brno-venkov;116;37;CZ0643;17.12.2015 00:00:00;;11.04.1960 00:00:00
3801;Bruntál;132;38;CZ0801;20.01.2016 00:00:00;;11.04.1960 00:00:00
3704;Bøeclav;116;37;CZ0644;06.06.2015 00:00:00;;11.04.1960 00:00:00
3402;Cheb;51;34;CZ0411;06.10.2015 00:00:00;;11.04.1960 00:00:00
3503;Chomutov;60;35;CZ0422;01.01.2016 00:00:00;;11.04.1960 00:00:00
3603;Chrudim;94;36;CZ0531;06.06.2015 00:00:00;;11.04.1960 00:00:00
3401;Domažlice;43;34;CZ0321;02.11.2015 00:00:00;;11.04.1960 00:00:00
3502;Dìèín;60;35;CZ0421;30.11.2015 00:00:00;;11.04.1960 00:00:00
3802;Frýdek-Místek;132;38;CZ0802;11.12.2015 00:00:00;;11.04.1960 00:00:00
3601;Havlíèkùv Brod;108;36;CZ0631;21.10.2015 00:00:00;;11.04.1960 00:00:00
3100;Hlavní mìsto Praha;19;31;CZ0100;10.02.2016 00:00:00;;11.04.1960 00:00:00
3706;Hodonín;116;37;CZ0645;23.06.2015 00:00:00;;11.04.1960 00:00:00
3602;Hradec Králové;86;36;CZ0521;11.01.2016 00:00:00;;11.04.1960 00:00:00
3504;Jablonec nad Nisou;78;35;CZ0512;06.06.2015 00:00:00;;11.04.1960 00:00:00
3811;Jeseník;124;38;CZ0711;23.10.2015 00:00:00;;01.01.1996 00:00:00
3707;Jihlava;108;37;CZ0632;22.12.2015 00:00:00;;11.04.1960 00:00:00
3303;Jindøichùv Hradec;35;33;CZ0313;14.12.2015 00:00:00;;11.04.1960 00:00:00
3604;Jièín;86;36;CZ0522;11.01.2016 00:00:00;;11.04.1960 00:00:00
3403;Karlovy Vary;51;34;CZ0412;01.01.2016 00:00:00;;11.04.1960 00:00:00
3803;Karviná;132;38;CZ0803;06.06.2015 00:00:00;;11.04.1960 00:00:00
3203;Kladno;27;32;CZ0203;30.11.2015 00:00:00;;11.04.1960 00:00:00
3404;Klatovy;43;34;CZ0322;18.12.2015 00:00:00;;11.04.1960 00:00:00
3204;Kolín;27;32;CZ0204;05.02.2016 00:00:00;;11.04.1960 00:00:00
3708;Kromìøíž;141;37;CZ0721;17.12.2015 00:00:00;;11.04.1960 00:00:00
3205;Kutná Hora;27;32;CZ0205;18.12.2015 00:00:00;;11.04.1960 00:00:00
3505;Liberec;78;35;CZ0513;22.09.2015 00:00:00;;11.04.1960 00:00:00
3506;Litomìøice;60;35;CZ0423;20.01.2016 00:00:00;;11.04.1960 00:00:00
3507;Louny;60;35;CZ0424;01.01.2016 00:00:00;;11.04.1960 00:00:00
3207;Mladá Boleslav;27;32;CZ0207;11.01.2016 00:00:00;;11.04.1960 00:00:00
3508;Most;60;35;CZ0425;21.12.2015 00:00:00;;11.04.1960 00:00:00
3206;Mìlník;27;32;CZ0206;25.01.2016 00:00:00;;11.04.1960 00:00:00
3804;Nový Jièín;132;38;CZ0804;01.01.2016 00:00:00;;11.04.1960 00:00:00
3208;Nymburk;27;32;CZ0208;05.02.2016 00:00:00;;11.04.1960 00:00:00
3605;Náchod;86;36;CZ0523;26.11.2015 00:00:00;;11.04.1960 00:00:00
3805;Olomouc;124;38;CZ0712;17.02.2016 00:00:00;;11.04.1960 00:00:00
3806;Opava;132;38;CZ0805;20.01.2016 00:00:00;;11.04.1960 00:00:00
3807;Ostrava-mìsto;132;38;CZ0806;06.06.2015 00:00:00;;11.04.1960 00:00:00
3606;Pardubice;94;36;CZ0532;06.06.2015 00:00:00;;11.04.1960 00:00:00
3304;Pelhøimov;108;33;CZ0633;27.01.2016 00:00:00;;11.04.1960 00:00:00
3406;Plzeò-jih;43;34;CZ0324;01.01.2016 00:00:00;;11.04.1960 00:00:00
3405;Plzeò-mìsto;43;34;CZ0323;14.12.2015 00:00:00;;11.04.1960 00:00:00
3407;Plzeò-sever;43;34;CZ0325;10.12.2015 00:00:00;;11.04.1960 00:00:00
3306;Prachatice;35;33;CZ0315;01.01.2016 00:00:00;;11.04.1960 00:00:00
3209;Praha-východ;27;32;CZ0209;05.02.2016 00:00:00;;11.04.1960 00:00:00
3210;Praha-západ;27;32;CZ020A;10.02.2016 00:00:00;;11.04.1960 00:00:00
3709;Prostìjov;124;37;CZ0713;28.01.2016 00:00:00;;11.04.1960 00:00:00
3305;Písek;35;33;CZ0314;29.01.2016 00:00:00;;11.04.1960 00:00:00
3808;Pøerov;124;38;CZ0714;15.01.2016 00:00:00;;11.04.1960 00:00:00
3211;Pøíbram;27;32;CZ020B;08.02.2016 00:00:00;;11.04.1960 00:00:00
3212;Rakovník;27;32;CZ020C;10.12.2015 00:00:00;;11.04.1960 00:00:00
3408;Rokycany;43;34;CZ0326;01.01.2016 00:00:00;;11.04.1960 00:00:00
3607;Rychnov nad Knìžnou;86;36;CZ0524;30.11.2015 00:00:00;;11.04.1960 00:00:00
3608;Semily;78;36;CZ0514;22.01.2016 00:00:00;;11.04.1960 00:00:00
3409;Sokolov;51;34;CZ0413;06.06.2015 00:00:00;;11.04.1960 00:00:00
3307;Strakonice;35;33;CZ0316;29.01.2016 00:00:00;;11.04.1960 00:00:00
3609;Svitavy;94;36;CZ0533;04.12.2015 00:00:00;;11.04.1960 00:00:00
3410;Tachov;43;34;CZ0327;23.10.2015 00:00:00;;11.04.1960 00:00:00
3509;Teplice;60;35;CZ0426;27.11.2015 00:00:00;;11.04.1960 00:00:00
3610;Trutnov;86;36;CZ0525;22.01.2016 00:00:00;;11.04.1960 00:00:00
3308;Tábor;35;33;CZ0317;15.02.2016 00:00:00;;11.04.1960 00:00:00
3710;Tøebíè;108;37;CZ0634;22.12.2015 00:00:00;;11.04.1960 00:00:00
3711;Uherské Hradištì;141;37;CZ0722;18.11.2015 00:00:00;;11.04.1960 00:00:00
