KOD;NAZEV;SPRAVNI_OBEC_KOD;VUSC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
507;Aö;554499;51;06.06.2015 00:00:00;;01.01.2003 00:00:00
27;Beneöov;529303;27;09.11.2015 00:00:00;;01.01.2003 00:00:00
51;Beroun;531057;27;08.02.2016 00:00:00;;01.01.2003 00:00:00
1295;Blansko;581283;116;17.12.2015 00:00:00;;01.01.2003 00:00:00
434;Blatn·;550850;35;29.09.2015 00:00:00;;01.01.2003 00:00:00
591;Blovice;557587;43;01.01.2016 00:00:00;;01.01.2003 00:00:00
1783;BohumÌn;599051;132;06.06.2015 00:00:00;;01.01.2003 00:00:00
1309;Boskovice;581372;116;06.10.2015 00:00:00;;01.01.2003 00:00:00
213;Brand˝s nad Labem-Star· Boleslav;538094;27;05.02.2016 00:00:00;;01.01.2003 00:00:00
1317;Brno;582786;116;06.06.2015 00:00:00;;01.01.2003 00:00:00
1031;Broumov;573922;86;26.11.2015 00:00:00;;01.01.2003 00:00:00
1716;Brunt·l;597180;132;20.01.2016 00:00:00;;01.01.2003 00:00:00
1627;BuËovice;592943;116;17.12.2015 00:00:00;;01.01.2003 00:00:00
1678;Byst¯ice nad Pernötejnem;595411;108;14.12.2015 00:00:00;;01.01.2003 00:00:00
1520;Byst¯ice pod Host˝nem;588393;141;06.06.2015 00:00:00;;01.01.2003 00:00:00
906;BÌlina;567451;60;22.10.2015 00:00:00;;01.01.2003 00:00:00
1830;BÌlovec;599247;132;27.08.2015 00:00:00;;01.01.2003 00:00:00
1384;B¯eclav;584291;116;16.12.2015 00:00:00;;01.01.2003 00:00:00
515;Cheb;554481;51;06.06.2015 00:00:00;;01.01.2003 00:00:00
752;Chomutov;562971;60;16.12.2015 00:00:00;;01.01.2003 00:00:00
931;ChotÏbo¯;568759;108;27.10.2015 00:00:00;;01.01.2003 00:00:00
981;Chrudim;571164;94;22.09.2015 00:00:00;;01.01.2003 00:00:00
337;DaËice;546127;35;16.12.2015 00:00:00;;01.01.2003 00:00:00
1104;Dobruöka;576271;86;06.06.2015 00:00:00;;01.01.2003 00:00:00
248;Dob¯Ìö;540111;27;08.02.2016 00:00:00;;01.01.2003 00:00:00
485;Domaûlice;553425;43;02.11.2015 00:00:00;;01.01.2003 00:00:00
1201;Dv˘r Kr·lovÈ nad Labem;579203;86;10.11.2015 00:00:00;;01.01.2003 00:00:00
728;DÏËÌn;562335;60;06.06.2015 00:00:00;;01.01.2003 00:00:00
1848;Frenöt·t pod RadhoötÏm;599344;132;06.06.2015 00:00:00;;01.01.2003 00:00:00
1741;Fr˝dek-MÌstek;598003;132;06.06.2015 00:00:00;;01.01.2003 00:00:00
809;Fr˝dlant;564028;78;06.06.2015 00:00:00;;01.01.2003 00:00:00
1759;Fr˝dlant nad OstravicÌ;598143;132;06.06.2015 00:00:00;;01.01.2003 00:00:00
949;HavlÌËk˘v Brod;568414;108;27.10.2015 00:00:00;;01.01.2003 00:00:00
1791;HavÌ¯ov;555088;132;06.06.2015 00:00:00;;01.01.2003 00:00:00
19;HlavnÌ mÏsto Praha;554782;19;10.02.2016 00:00:00;;01.01.2003 00:00:00
990;Hlinsko;571393;94;22.09.2015 00:00:00;;01.01.2003 00:00:00
