KOD;NAZEV;ORP_KOD;SPRAVNI_OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
2691;Adamov;1295;581291;06.06.2015 00:00:00;;24.11.1990 00:00:00
1074;Aö;507;554499;06.06.2015 00:00:00;;24.11.1990 00:00:00
957;BechynÏ;477;552054;06.06.2015 00:00:00;;24.11.1990 00:00:00
27;Beneöov;27;529303;09.11.2015 00:00:00;;24.11.1990 00:00:00
1571;Beneöov nad PlouËnicÌ;728;562351;17.09.2015 00:00:00;;24.11.1990 00:00:00
272;Ben·tky nad Jizerou;167;535451;06.06.2015 00:00:00;;24.11.1990 00:00:00
78;Beroun;51;531057;08.02.2016 00:00:00;;24.11.1990 00:00:00
1465;Bezdruûice;680;560740;28.07.2015 00:00:00;;24.11.1990 00:00:00
2704;Blansko;1295;581283;17.12.2015 00:00:00;;24.11.1990 00:00:00
914;Blatn·;434;550850;29.09.2015 00:00:00;;24.11.1990 00:00:00
1236;Blovice;591;557587;15.12.2015 00:00:00;;24.11.1990 00:00:00
3557;BohumÌn;1783;599051;06.06.2015 00:00:00;;24.11.1990 00:00:00
3212;Bojkovice;1619;592048;18.11.2015 00:00:00;;24.11.1990 00:00:00
1473;Bor;698;560758;12.11.2015 00:00:00;;24.11.1990 00:00:00
2712;Boskovice;1309;581372;06.06.2015 00:00:00;;24.11.1990 00:00:00
361;Brand˝s nad Labem-Star· Boleslav;213;538094;20.01.2016 00:00:00;;24.11.1990 00:00:00
2747;Brno;1317;582786;06.06.2015 00:00:00;;01.01.2003 00:00:00
2224;Broumov;1031;573922;10.06.2015 00:00:00;;24.11.1990 00:00:00
2861;Brumov-Bylnice;1449;585114;06.06.2015 00:00:00;;24.11.1990 00:00:00
3425;Brunt·l;1716;597180;20.01.2016 00:00:00;;24.11.1990 00:00:00
3263;BuËovice;1627;592943;17.12.2015 00:00:00;;24.11.1990 00:00:00
3379;Byst¯ice nad Pernötejnem;1678;595411;14.12.2015 00:00:00;;24.11.1990 00:00:00
3051;Byst¯ice pod Host˝nem;1520;588393;06.06.2015 00:00:00;;24.11.1990 00:00:00
2941;Bzenec;1481;586081;06.06.2015 00:00:00;;24.11.1990 00:00:00
281;BÏl· pod BezdÏzem;167;535443;27.11.2015 00:00:00;;24.11.1990 00:00:00
1902;BÌlina;906;567451;22.10.2015 00:00:00;;24.11.1990 00:00:00
3603;BÌlovec;1830;599247;27.08.2015 00:00:00;;24.11.1990 00:00:00
2810;B¯eclav;1384;584291;16.12.2015 00:00:00;;24.11.1990 00:00:00
485;B¯eznice;256;540013;29.09.2015 00:00:00;;24.11.1990 00:00:00
1082;Cheb;515;554481;06.06.2015 00:00:00;;24.11.1990 00:00:00
2038;Chlumec nad Cidlinou;965;570109;08.12.2015 00:00:00;;24.11.1990 00:00:00
2607;ChoceÚ;1252;580350;06.06.2015 00:00:00;;24.11.1990 00:00:00
1406;Chodov;671;560383;06.06.2015 00:00:00;;24.11.1990 00:00:00
1635;Chomutov;752;562971;05.02.2016 00:00:00;;24.11.1990 00:00:00
1970;ChotÏbo¯;931;568759;27.10.2015 00:00:00;;24.11.1990 00:00:00
2097;Chrast;981;571539;15.12.2015 00:00:00;;24.11.1990 00:00:00
1716;Chrastava;817;564117;06.06.2015 00:00:00;;24.11.1990 00:00:00
3069;ChropynÏ;1546;588512;16.06.2015 00:00:00;;24.11.1990 00:00:00
2101;Chrudim;981;571164;15.12.2015 00:00:00;;24.11.1990 00:00:00
2313;Chvaletice;1091;575071;06.06.2015 00:00:00;;24.11.1990 00:00:00
1511;Cvikov;701;561479;06.06.2015 00:00:00;;24.11.1990 00:00:00
701;DaËice;337;546127;17.12.2015 00:00:00;;24.11.1990 00:00:00
2364;Dobruöka;1104;576271;06.06.2015 00:00:00;;24.11.1990 00:00:00
1244;Dob¯any;621;557676;07.12.2015 00:00:00;;24.11.1990 00:00:00
493;Dob¯Ìö;248;540111;08.02.2016 00:00:00;;24.11.1990 00:00:00
1520;Doksy;710;561495;25.01.2016 00:00:00;;24.11.1990 00:00:00
1015;Domaûlice;485;553425;21.10.2015 00:00:00;;24.11.1990 00:00:00
1911;Duchcov;914;567515;27.11.2015 00:00:00;;24.11.1990 00:00:00
2534;Dv˘r Kr·lovÈ nad Labem;1201;579203;10.11.2015 00:00:00;;24.11.1990 00:00:00
1589;DÏËÌn;728;562335;17.09.2015 00:00:00;;24.11.1990 00:00:00
3611;Frenöt·t pod RadhoötÏm;1848;599344;06.06.2015 00:00:00;;24.11.1990 00:00:00
3506;Fr˝dek-MÌstek;1741;598003;06.06.2015 00:00:00;;24.11.1990 00:00:00
1724;Fr˝dlant;809;564028;14.07.2015 00:00:00;;24.11.1990 00:00:00
3514;Fr˝dlant nad OstravicÌ;1759;598143;06.06.2015 00:00:00;;24.11.1990 00:00:00
3620;Fulnek;1872;599352;19.11.2015 00:00:00;;24.11.1990 00:00:00
1988;GolË˘v JenÌkov;949;568635;06.06.2015 00:00:00;;24.11.1990 00:00:00
3832;Hanuöovice;2020;535532;08.01.2016 00:00:00;;24.11.1990 00:00:00
1996;HavlÌËk˘v Brod;949;568414;06.01.2016 00:00:00;;24.11.1990 00:00:00
3565;HavÌ¯ov;1791;555088;06.06.2015 00:00:00;;24.11.1990 00:00:00
2119;He¯man˘v MÏstec;981;571385;30.10.2015 00:00:00;;24.11.1990 00:00:00
19;HlavnÌ mÏsto Praha;19;554782;10.02.2016 00:00:00;;01.01.2003 00:00:00
2127;Hlinsko;990;571393;22.09.2015 00:00:00;;24.11.1990 00:00:00
582;Hlubok· nad Vltavou;302;544485;06.06.2015 00:00:00;;24.11.1990 00:00:00
3689;HluboËky;1899;502146;01.01.2016 00:00:00;;01.01.2003 00:00:00
3743;HluËÌn;1929;507016;06.06.2015 00:00:00;;24.11.1990 00:00:00
1732;Hodkovice nad Mohelkou;817;564061;06.06.2015 00:00:00;;20.03.1992 00:00:00
2950;HodonÌn;1473;586021;06.06.2015 00:00:00;;24.11.1990 00:00:00
3077;Holeöov;1538;588458;01.09.2015 00:00:00;;24.11.1990 00:00:00
2321;Holice;1074;574988;06.06.2015 00:00:00;;24.11.1990 00:00:00
1023;Hol˝öov;621;553654;08.02.2016 00:00:00;;24.11.1990 00:00:00
1163;HoraûÔovice;558;556254;06.06.2015 00:00:00;;24.11.1990 00:00:00
3433;HornÌ Beneöov;1716;597350;06.06.2015 00:00:00;;24.11.1990 00:00:00
3875;HornÌ LideË;2054;542725;30.11.2015 00:00:00;;20.03.1992 00:00:00
655;HornÌ Plan·;329;545511;01.01.2016 00:00:00;;24.11.1990 00:00:00
1414;HornÌ Slavkov;671;560367;06.06.2015 00:00:00;;24.11.1990 00:00:00
1031;Horöovsk˝ T˝n;493;553671;08.02.2016 00:00:00;;24.11.1990 00:00:00
2542;HostinnÈ;1228;579297;06.06.2015 00:00:00;;24.11.1990 00:00:00
426;Hostivice;230;539244;29.10.2015 00:00:00;;24.11.1990 00:00:00
2160;Ho¯ice;1007;572926;11.01.2016 00:00:00;;24.11.1990 00:00:00
86;Ho¯ovice;60;531189;01.01.2016 00:00:00;;24.11.1990 00:00:00
2046;Hradec Kr·lovÈ;965;569810;24.11.2015 00:00:00;;24.11.1990 00:00:00
3794;Hranice;1970;513750;01.01.2016 00:00:00;;24.11.1990 00:00:00
2232;Hronov;1066;574082;06.06.2015 00:00:00;;24.11.1990 00:00:00
3158;Hrotovice;1597;590673;28.08.2015 00:00:00;;24.11.1990 00:00:00
3328;Hruöovany nad Jeviöovkou;1660;594156;18.01.2016 00:00:00;;24.11.1990 00:00:00
1741;Hr·dek nad Nisou;817;564095;29.06.2015 00:00:00;;24.11.1990 00:00:00
3085;HulÌn;1546;588491;06.06.2015 00:00:00;;24.11.1990 00:00:00
779;Humpolec;361;547999;08.12.2015 00:00:00;;24.11.1990 00:00:00
2828;HustopeËe;1392;584495;16.12.2015 00:00:00;;24.11.1990 00:00:00
3271;Ivanovice na HanÈ;1643;593117;07.10.2015 00:00:00;;20.03.1992 00:00:00
2755;IvanËice;1325;583120;14.12.2015 00:00:00;;24.11.1990 00:00:00
1686;Jablonec nad Nisou;779;563510;06.06.2015 00:00:00;;24.11.1990 00:00:00
2615;JablonnÈ nad OrlicÌ;1261;580376;10.12.2015 00:00:00;;24.11.1990 00:00:00
1538;JablonnÈ v PodjeötÏdÌ;817;561631;22.09.2015 00:00:00;;24.11.1990 00:00:00
3522;Jablunkov;1767;598259;11.12.2015 00:00:00;;24.11.1990 00:00:00
2241;JaromÏ¯;1040;574121;10.11.2015 00:00:00;;24.11.1990 00:00:00
3166;JaromÏ¯ice nad Rokytnou;1597;590754;06.06.2015 00:00:00;;24.11.1990 00:00:00
3921;JavornÌk;2062;536148;23.10.2015 00:00:00;;24.11.1990 00:00:00
3174;Jemnice;1571;590789;23.10.2015 00:00:00;;24.11.1990 00:00:00
434;Jesenice (okres Praha-z·pad);230;539325;10.02.2016 00:00:00;;01.01.2003 00:00:00
540;Jesenice (okres RakovnÌk);272;541834;09.02.2016 00:00:00;;24.11.1990 00:00:00
3930;JesenÌk;2062;536385;09.10.2015 00:00:00;;24.11.1990 00:00:00
2488;JevÌËko;1171;578193;13.10.2015 00:00:00;;24.11.1990 00:00:00
3018;Jihlava;1503;586846;09.12.2015 00:00:00;;24.11.1990 00:00:00
2437;Jilemnice;1139;577197;22.01.2016 00:00:00;;24.11.1990 00:00:00
710;Jind¯ich˘v Hradec;345;545881;16.12.2015 00:00:00;;24.11.1990 00:00:00
1643;Jirkov;752;563099;05.02.2016 00:00:00;;24.11.1990 00:00:00
2178;JiËÌn;1015;572659;11.11.2015 00:00:00;;24.11.1990 00:00:00
442;JÌlovÈ u Prahy;230;539333;10.02.2016 00:00:00;;24.11.1990 00:00:00
1651;KadaÚ;761;563102;01.01.2016 00:00:00;;24.11.1990 00:00:00
370;Kamenice;221;538299;10.12.2015 00:00:00;;01.01.2003 00:00:00
787;Kamenice nad Lipou;388;548111;16.12.2015 00:00:00;;24.11.1990 00:00:00
663;Kaplice;311;545562;06.06.2015 00:00:00;;24.11.1990 00:00:00
1104;Karlovy Vary;531;554961;04.01.2016 00:00:00;;24.11.1990 00:00:00
3883;Karolinka;2054;542911;26.11.2015 00:00:00;;24.11.1990 00:00:00
3573;Karvin·;1805;598917;06.06.2015 00:00:00;;24.11.1990 00:00:00
1171;KaöperskÈ Hory;574;556432;18.12.2015 00:00:00;;24.11.1990 00:00:00
1040;KdynÏ;485;553786;21.10.2015 00:00:00;;24.11.1990 00:00:00
94;Kladno;78;532053;11.11.2015 00:00:00;;24.11.1990 00:00:00
1180;Klatovy;566;555771;11.01.2016 00:00:00;;24.11.1990 00:00:00
2836;Klobouky u Brna;1392;584550;06.06.2015 00:00:00;;24.11.1990 00:00:00
1660;Kl·öterec nad Oh¯Ì;761;563129;01.01.2016 00:00:00;;24.11.1990 00:00:00
3808;KojetÌn;1996;514055;15.01.2016 00:00:00;;24.11.1990 00:00:00
132;KolÌn;94;533165;18.12.2015 00:00:00;;24.11.1990 00:00:00
3123;Konice;1554;589624;23.12.2015 00:00:00;;24.11.1990 00:00:00
2186;Kopidlno;1015;573060;06.06.2015 00:00:00;;24.11.1990 00:00:00
3638;Kop¯ivnice;1856;599565;06.06.2015 00:00:00;;24.11.1990 00:00:00
3093;KoryËany;1546;588601;17.12.2015 00:00:00;;24.11.1990 00:00:00
2372;Kostelec nad OrlicÌ;1112;576361;29.07.2015 00:00:00;;24.11.1990 00:00:00
141;Kostelec nad »ern˝mi lesy;221;533416;14.12.2015 00:00:00;;24.11.1990 00:00:00
159;Kou¯im;94;533424;29.10.2015 00:00:00;;24.11.1990 00:00:00
1309;Kralovice;639;559075;10.12.2015 00:00:00;;24.11.1990 00:00:00
