KOD;NAZEV;REGSOUDR_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
19;Hlavní mìsto Praha;19;CZ010;11.11.2015 00:00:00;;01.01.2000 00:00:00
116;Jihomoravský kraj;60;CZ064;01.01.2016 00:00:00;;01.01.2000 00:00:00
35;Jihoèeský kraj;35;CZ031;15.02.2016 00:00:00;;01.01.2000 00:00:00
51;Karlovarský kraj;43;CZ041;01.01.2016 00:00:00;;01.01.2000 00:00:00
108;Kraj Vysoèina;60;CZ063;27.01.2016 00:00:00;;01.01.2000 00:00:00
86;Královéhradecký kraj;51;CZ052;14.12.2015 00:00:00;;01.01.2000 00:00:00
78;Liberecký kraj;51;CZ051;25.01.2016 00:00:00;;01.01.2000 00:00:00
132;Moravskoslezský kraj;86;CZ080;01.01.2016 00:00:00;;01.01.2000 00:00:00
124;Olomoucký kraj;78;CZ071;08.01.2016 00:00:00;;01.01.2000 00:00:00
94;Pardubický kraj;51;CZ053;08.01.2016 00:00:00;;01.01.2000 00:00:00
43;Plzeòský kraj;35;CZ032;01.01.2016 00:00:00;;01.01.2000 00:00:00
27;Støedoèeský kraj;27;CZ020;15.02.2016 00:00:00;;01.01.2000 00:00:00
141;Zlínský kraj;78;CZ072;17.12.2015 00:00:00;;01.01.2000 00:00:00
60;Ústecký kraj;43;CZ042;01.01.2016 00:00:00;;01.01.2000 00:00:00

